pole_id,latitude,longitude,desc_addr,luminaire,pole_construction,arm_length,pole_use,cmo_obj_id,led_project,led_status,led_type
12K269,37.33138352,-121.9066274,SUNOL ST WS 150' SO THE ALAMEDA,S-L-55,GALVANIZED,6 FT,ST LIGHT ONLY,31636,,Future,
12K270,37.33102001,-121.9066184,SUNOL ST 27,S-L-55,GALVANIZED,6 FT,ST LIGHT ONLY,31637,,Future,
12K271,37.33062761,-121.9065847,SUNOL ST 43,S-L-55,GALVANIZED,8 FT,ST LIGHT ONLY,31638,,Future,
12K271J,37.33250058,-121.9119187,W JULIAN ST 1094,S-L-55,STANDARD WOOD,6 FT,DISTRIBUTION,31639,,Future,
12K272,37.3300503,-121.9065361,SUNOL ST 61,S-L-55,STEEL,6 FT,ST LIGHT ONLY,31640,,Future,
12K272J,37.33336059,-121.9106779,W JULIAN ST 1310 OPP,S-L-55,STANDARD WOOD,6 FT,DISTRIBUTION,31641,,Future,
12K273,37.32950042,-121.9064904,SUNOL ST 79,S-L-55,GALVANIZED,8 FT,ST LIGHT ONLY,31642,,Future,
12K274,37.32907935,-121.9064463,SUNOL ST & W SAN FERNANDO ST NWC,S-L-55,GALVANIZED,8 FT,ST LIGHT ONLY,31643,,Future,
12K275,37.32863771,-121.9064486,SUNOL ST 113,S-L-135,GALVANIZED,8 FT,ST LIGHT ONLY,31644,,Future,
12K276,37.32816918,-121.9064667,SUNOL ST 133,S-L-135,GALVANIZED,8 FT,ST LIGHT ONLY,31645,,Future,
12K277,37.32770865,-121.9063861,SUNOL ST 145,S-L-55,GALVANIZED,8 FT,ST LIGHT ONLY,31646,,Future,
12K278,37.32722561,-121.9063265,SUNOL ST 163,S-L-135,GALVANIZED,8 FT,ST LIGHT ONLY,31647,,Future,
12K279,37.32667519,-121.9062718,SUNOL ST 193,S-L-135,STEEL,8 FT,ST LIGHT ONLY,31648,,Future,
12K280,37.32981451,-121.9104241,GARLAND AVE 1031,S-L-55,GALVANIZED,6 FT,ST LIGHT ONLY,31649,,Future,
12K281,37.32878006,-121.9107607,W SAN FERNANDO ST 1056 OPP,S-L-55,GALVANIZED,6 FT,ST LIGHT ONLY,31650,,Future,
12K293J,37.32793755,-121.9101222,LUTHER AVE 1051 OPP,S-L-55,STANDARD WOOD,30 INCHES,UNKNOWN,31658,,Future,
12K295J,37.32677523,-121.9083295,S MORRISON AVE 188,S-L-90,STANDARD WOOD,30 INCHES,DISTRIBUTION,31659,,Future,
12K296J,37.32842331,-121.9084034,S MORRISON AVE 110,S-L-90,STANDARD WOOD,30 INCHES,DISTRIBUTION,31660,,Future,
12K298J,37.32668958,-121.9073704,CLEAVES AVE 195,S-L-90,STANDARD WOOD,30 INCHES,DISTRIBUTION,31661,,Future,
12K302J,37.33117657,-121.9084131,S MORRISON AVE 19,S-L-90,STANDARD WOOD,30 INCHES,UNKNOWN,31662,,Future,
12K303J,37.32917629,-121.9082662,S MORRISON AVE 97,S-L-90,STANDARD WOOD,30 INCHES,DISTRIBUTION,31663,,Future,
12K305,37.33136042,-121.9098577,S KEEBLE AVE & THE ALAMEDA SEC,S-L-55,GALVANIZED,6 FT,ST LIGHT ONLY,31664,,Future,
12K306J,37.32931274,-121.9098482,S KEEBLE AVE 86 OPP,S-L-55,STANDARD WOOD,30 INCHES,DISTRIBUTION,31665,,Future,
12K309,37.32609675,-121.9114755,RACE ST & PARK AVE NEC,S-L-135,UNKNOWN,13 FT,ST LIGHT & SIGNAL,31666,,Future,
12K310,37.32606378,-121.9116842,PARK AVE & RACE ST NWC,S-L-135,GALVANIZED,13 FT,ST LIGHT & SIGNAL,31667,,Future,
12K311,37.32590186,-121.9116799,RACE ST & PARK AVE SWC,S-L-135,GALVANIZED,13 FT,ST LIGHT & SIGNAL,31668,,Future,
12K312,37.32594288,-121.9114852,PARK AVE & RACE ST SEC,S-L-135,GALVANIZED,13 FT,ST LIGHT & SIGNAL,31669,,Future,
12K327,37.33245566,-121.9122577,W JULIAN ST WS 150' NO THE ALAMEDA,S-L-135,GALVANIZED,6 FT,ST LIGHT ONLY,31684,,Future,
12K328,37.33268616,-121.9119275,W JULIAN ST WS 260' NO THE ALAMEDA,S-L-135,GALVANIZED,6 FT,UNKNOWN,31686,,Future,
12K329,37.33286455,-121.911664,W JULIAN ST 1056 OPP,S-L-135,GALVANIZED,6 FT,ST LIGHT ONLY,31688,,Future,
12K330,37.33306993,-121.9113371,W JULIAN ST WS 475' NO THE ALAMEDA,S-L-135,GALVANIZED,OTHER,ST LIGHT ONLY,31690,,Future,
12K331,37.33326069,-121.911096,W JULIAN ST 1022 OPP,S-L-135,GALVANIZED,6 FT,ST LIGHT ONLY,31692,,Future,
12K332,37.33344779,-121.910829,W JULIAN ST 1310,S-L-135,GALVANIZED,6 FT,ST LIGHT ONLY,31694,,Future,
12K332J,37.33006484,-121.9119648,RACE ST WS 200' SO SIERRA AVE,S-L-135,STANDARD WOOD,6 FT,DISTRIBUTION,31695,,Future,
12K333,37.33352759,-121.910559,W JULIAN ST NS 100' WO CINNABAR ST,S-L-135,GALVANIZED,6 FT,ST LIGHT ONLY,31696,,Future,
12K333J,37.3296314,-121.9119083,RACE ST OPP GARLAND AVE,S-L-135,STANDARD WOOD,6 FT,DISTRIBUTION,31697,,Future,
12K334,37.33357817,-121.9102268,W JULIAN ST & CINNABAR ST NWC,S-L-135,GALVANIZED,6 FT,ST LIGHT ONLY,31698,,Future,
12K334J,37.32964964,-121.9117643,GARLAND AVE RACE ST SEC,S-L-90,STANDARD WOOD,6 FT,DISTRIBUTION,31699,,Future,
12K335J,37.32965669,-121.9113162,GARLAND AVE 1043 OPP,S-L-90,STANDARD WOOD,6 FT,DISTRIBUTION,31700,,Future,
12K336,37.32886953,-121.9096998,S KEEBLE AVE & W SAN FERNANDO NEC,S-L-90,GALVANIZED,6 FT,ST LIGHT ONLY,31701,,Future,
12K337,37.32918342,-121.9097239,S KEEBLE AVE 86,S-L-90,STEEL,10 FT OR 12 FT,ST LIGHT ONLY,31702,,Future,
12K338,37.32956824,-121.909747,S KEEBLE AVE 74,S-L-90,GALVANIZED,10 FT OR 12 FT,ST LIGHT ONLY,31703,,Future,
12K339,37.32985658,-121.909776,S KEEBLE AVE OPP GARLAND AVE,S-L-90,GALVANIZED,6 FT,ST LIGHT ONLY,31704,,Future,
12K340J,37.33026323,-121.909909,S KEEBLE AVE 42 OPP,S-L-90,STANDARD WOOD,30 INCHES,DISTRIBUTION,31705,,Future,
12K341J,37.33099389,-121.9099604,S KEEBLE AVE WS 30' NO KEEBLE CT,S-L-90,STANDARD WOOD,8 FT,DISTRIBUTION,31706,,Future,
12K342,37.33180184,-121.9097925,N KEEBLE AVE & THE ALAMEDA NEC,S-L-90,GALVANIZED,6 FT,ST LIGHT ONLY,31707,,Future,
12K343,37.33206496,-121.9099307,N KEEBLE AVE WS 160' NO THE ALAMEDA,S-L-90,GALVANIZED,6 FT,ST LIGHT ONLY,31708,,Future,
12K344,37.33266977,-121.9099707,N KEEBLE AVE WS 270' SO W JULIAN ST,S-L-90,STEEL,10 FT OR 12 FT,ST LIGHT ONLY,31709,,Future,
12K345,37.33338058,-121.9098544,N KEEBLE AVE & W JULIAN ST SEC,S-L-135,STEEL,10 FT OR 12 FT,ST LIGHT ONLY,31710,,Future,
12K346,37.32796739,-121.9114153,LUTHER AVE NS 60' EO RACE ST,S-L-55,GALVANIZED,10 FT OR 12 FT,ST LIGHT ONLY,31711,,Future,
12K347J,37.32792178,-121.9110529,LUTHER AVE 1090,S-L-90,STANDARD WOOD,10 FT OR 12 FT,DISTRIBUTION,31712,,Future,
12K349,37.3263099,-121.9073279,CLEAVES AVE & PARK AVE NWC,S-L-90,GALVANIZED,8 FT,ST LIGHT ONLY,31713,,Future,
12K350,37.32772689,-121.9073255,CLEAVES AVE 128,S-L-90,GALVANIZED,10 FT OR 12 FT,ST LIGHT ONLY,31714,,Future,
12K351,37.32877066,-121.9075022,CLEAVES AVE & W SAN FERNANDO ST NWC,S-L-90,GALVANIZED,8 FT,ST LIGHT ONLY,31715,,Future,
12K353J,37.32995575,-121.9073072,CLEOVES AVE,S-L-90,STANDARD WOOD,30 INCHES,DISTRIBUTION,31716,,Future,
12K354J,37.33080412,-121.9073575,CLEOVES AVE,S-L-90,STANDARD WOOD,6 FT,DISTRIBUTION,31717,,Future,
12K381J,37.32874343,-121.9095822,W SAN FERNANDO ST & RAINIER AVE SWC,S-L-90,STANDARD WOOD,10 FT OR 12 FT,ST LIGHT ONLY,31736,,Future,
12K383,37.32726287,-121.9094061,RAINIER AVE 175,S-L-90,STEEL,10 FT OR 12 FT,ST LIGHT ONLY,31737,,Future,
12K384,37.32764061,-121.9094042,RAINIER ST 163,S-L-90,STANDARD WOOD,10 FT OR 12 FT,DISTRIBUTION,31738,,Future,
12K385,37.32673289,-121.9093493,RAINIER AVE 189,S-L-90,STANDARD WOOD,8 FT,DISTRIBUTION,31739,,Future,
12K386,37.32633203,-121.9093264,RAINIER AVE & PARK AVE NWC,S-L-90,STANDARD WOOD,10 FT OR 12 FT,DISTRIBUTION,31740,,Future,
12K388,37.32872329,-121.9084438,S MORRISON AVE & W SAN FERNANDO ST SEC,S-L-90,UNKNOWN,6 FT,ST LIGHT ONLY,31742,,Future,
12K389,37.32803495,-121.9084761,S MORRISON AVE 135,S-L-90,GALVANIZED,OTHER,UNKNOWN,31743,,Future,
12K390J,37.32722695,-121.9083453,S MORRISON AVE 164,S-L-90,UNKNOWN,OTHER,UNKNOWN,31744,,Future,
12K391,37.32631055,-121.9083753,S MORRISON AVE & PARK AVE NWC,S-L-90,GALVANIZED,OTHER,ST LIGHT ONLY,31745,,Future,
12K392,37.33149524,-121.9084521,S MORRISON AVE & THE ALAMEDA SWC,S-L-135,GALVANIZED,6 FT,ST LIGHT ONLY,31746,,Future,
12K393J,37.33079276,-121.9083828,S MORRISON AVE 27,S-L-90,STANDARD WOOD,6 FT,DISTRIBUTION,31747,,Future,
12K394,37.33009323,-121.9082368,S MORRISON AVE 48,S-L-90,GALVANIZED,6 FT,ST LIGHT ONLY,31748,,Future,
12K395J,37.32953283,-121.9082915,S MORRISON AVE 63,S-L-90,UNKNOWN,OTHER,DISTRIBUTION,31749,,Future,
12K431,37.3320135,-121.9123212,THE ALAMEDA 1250,S4H-150,STEEL,POST TOP,UNKNOWN,31783,,Future,
12K432,37.3318957,-121.912214,THE ALAMEDA 1230,S4H-150,UNKNOWN,POST TOP,UNKNOWN,31784,,Future,
12K434,37.33198922,-121.9127588,THE ALAMEDA OPP W JULIAN ST,S4H-150,STEEL,POST TOP,UNKNOWN,31786,,Future,
12K435,37.33189064,-121.912624,THE ALAMEDA 1223,S4H-150,UNKNOWN,POST TOP,UNKNOWN,31787,,Future,
12K436,37.33185895,-121.9125994,THE ALAMEDA 1250 OPP,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31788,,Future,
12K437,37.33169415,-121.912419,THE ALAMEDA 1205,S4H-150,UNKNOWN,POST TOP,ST LIGHT ONLY,31789,,Future,
12K438,37.33170078,-121.9119243,THE ALAMEDA OPP HANCHETT AVE,S4H-150,UNKNOWN,POST TOP,UNKNOWN,31790,,Future,
12K44,37.32631562,-121.9050317,PARK AVE 50' NO MC EVOY ST,S-L-135,STEEL,OTHER,ST LIGHT ONLY,31791,,Future,
12K440,37.33161142,-121.911421,THE ALAMEDA 1095,S4H-150,STEEL,POST TOP,UNKNOWN,31792,,Future,
12K441,37.33160508,-121.9112318,THE ALAMEDA 1071,S4H-150,UNKNOWN,POST TOP,UNKNOWN,31793,,Future,
12K442,37.33161083,-121.9111027,THE ALAMEDA 1068 OPP,S4H-150,UNKNOWN,POST TOP,ST LIGHT ONLY,31794,,Future,
12K443,37.33162311,-121.9109478,THE ALAMEDA 1062 OPP,S4H-150,UNKNOWN,POST TOP,ST LIGHT ONLY,31795,,Future,
12K444,37.3316174,-121.9108274,THE ALAMEDA 1041,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31796,,Future,
12K445,37.33163784,-121.9105605,THE ALAMEDA NS 200' WO N KEEBLE AVE,S4H-150,STEEL,POST TOP,UNKNOWN,31797,,Future,
12K447,37.3316786,-121.9102589,THE ALAMEDA 1033B,S4H-150,UNKNOWN,POST TOP,UNKNOWN,31798,,Future,
12K448,37.33169597,-121.9101583,THE ALAMEDA 1033B,S4H-150,UNKNOWN,POST TOP,UNKNOWN,31799,,Future,
12K449,37.33172315,-121.9096361,THE ALAMEDA 1027,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31800,,Future,
12K450,37.33172638,-121.9094869,THE ALAMEDA 1010 OPP,S4H-150,STEEL,POST TOP,UNKNOWN,31801,,Future,
12K451,37.33173598,-121.9093551,THE ALAMEDA 1010 OPP,S4H-150,UNKNOWN,POST TOP,ST LIGHT ONLY,31802,,Future,
12K452,37.3317124,-121.909164,THE ALAMEDA OPP ATLAS AVE,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31803,,Future,
12K453,37.33172948,-121.9090217,THE ALAMEDA 980,S4H-150,UNKNOWN,POST TOP,ST LIGHT ONLY,31804,,Future,
12K454,37.33176437,-121.9088178,THE ALAMEDA 950,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31805,,Future,
12K455,37.3313901,-121.911721,THE ALAMEDA SS 50' EO RACE ST,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31806,,Future,
12K456,37.3314334,-121.9111361,THE ALAMEDA 1066,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31807,,Future,
12K457,37.33143752,-121.9109676,THE ALAMEDA 1066,S4H-150,UNKNOWN,POST TOP,ST LIGHT ONLY,31808,,Future,
12K458,37.33146407,-121.9107379,THE ALAMEDA 1041 OPP,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31809,,Future,
12K459,37.33147766,-121.9103543,THE ALAMEDA 1036,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31810,,Future,
12K460,37.3314701,-121.9101501,THE ALAMEDA 1033A OPP,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31811,,Future,
12K461,37.33149317,-121.9098558,THE ALAMEDA & S KEEBLE AVE SEC,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31812,,Future,
12K462,37.33150911,-121.9097265,THE ALAMEDA 1022,S4H-150,STEEL,POST TOP,ST LIGHT ONLY,31813,,Future,
12K463,37.331525,-121.909583,THE ALAMEDA 1027 OPP,S4H-150,UNKNOWN,POST TOP,UNKNOWN,31814,,Future,
